O*NET-SOC,Career_Title,Short_Description,Attributes,Job_Zone
15-1299.09,Information Technology Project Managers,,Information Technology Project Managers|Information|Technology|Project|Managers,
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",,"Inspectors, Testers, Sorters, Samplers, and Weighers|Inspectors,|Testers,|Sorters,|Samplers,|and",
49-9099.00,"Installation, Maintenance, and Repair Workers, All Other",,"Installation, Maintenance, and Repair Workers, All Other|Installation,|Maintenance,|and|Repair|Workers,",
25-9031.00,Instructional Coordinators,,Instructional Coordinators|Instructional|Coordinators,
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",,"Insulation Workers, Floor, Ceiling, and Wall|Insulation|Workers,|Floor,|Ceiling,|and",
47-2132.00,"Insulation Workers, Mechanical",,"Insulation Workers, Mechanical|Insulation|Workers,|Mechanical",
13-1032.00,"Insurance Appraisers, Auto Damage",,"Insurance Appraisers, Auto Damage|Insurance|Appraisers,|Auto|Damage",
43-9041.00,Insurance Claims and Policy Processing Clerks,,Insurance Claims and Policy Processing Clerks|Insurance|Claims|and|Policy|Processing,
41-3021.00,Insurance Sales Agents,,Insurance Sales Agents|Insurance|Sales|Agents,
13-2053.00,Insurance Underwriters,,Insurance Underwriters|Insurance|Underwriters,
33-3021.06,Intelligence Analysts,,Intelligence Analysts|Intelligence|Analysts,
27-1025.00,Interior Designers,,Interior Designers|Interior|Designers,
27-3091.00,Interpreters and Translators,,Interpreters and Translators|Interpreters|and|Translators,
43-4111.00,"Interviewers, Except Eligibility and Loan",,"Interviewers, Except Eligibility and Loan|Interviewers,|Except|Eligibility|and|Loan",
11-3031.03,Investment Fund Managers,,Investment Fund Managers|Investment|Fund|Managers,
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners|Janitors|and|Cleaners,|Except|Maids",
51-9071.00,Jewelers and Precious Stone and Metal Workers,,Jewelers and Precious Stone and Metal Workers|Jewelers|and|Precious|Stone|and,
23-1023.00,"Judges, Magistrate Judges, and Magistrates",,"Judges, Magistrate Judges, and Magistrates|Judges,|Magistrate|Judges,|and|Magistrates",
23-1012.00,Judicial Law Clerks,,Judicial Law Clerks|Judicial|Law|Clerks,
25-2012.00,"Kindergarten Teachers, Except Special Education",,"Kindergarten Teachers, Except Special Education|Kindergarten|Teachers,|Except|Special|Education",
13-1075.00,Labor Relations Specialists,,Labor Relations Specialists|Labor|Relations|Specialists,
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",,"Laborers and Freight, Stock, and Material Movers, Hand|Laborers|and|Freight,|Stock,|and",
17-1012.00,Landscape Architects,,Landscape Architects|Landscape|Architects,
37-3011.00,Landscaping and Groundskeeping Workers,,Landscaping and Groundskeeping Workers|Landscaping|and|Groundskeeping|Workers,
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic|Lathe|and|Turning|Machine|Tool",
51-6011.00,Laundry and Dry-Cleaning Workers,,Laundry and Dry-Cleaning Workers|Laundry|and|Dry|Cleaning|Workers,
25-1112.00,"Law Teachers, Postsecondary",,"Law Teachers, Postsecondary|Law|Teachers,|Postsecondary",
23-1011.00,Lawyers,,Lawyers|Lawyers,
51-4192.00,"Layout Workers, Metal and Plastic",,"Layout Workers, Metal and Plastic|Layout|Workers,|Metal|and|Plastic",
43-6012.00,Legal Secretaries and Administrative Assistants,,Legal Secretaries and Administrative Assistants|Legal|Secretaries|and|Administrative|Assistants,
23-2099.00,"Legal Support Workers, All Other",,"Legal Support Workers, All Other|Legal|Support|Workers,|All|Other",
11-1031.00,Legislators,,Legislators|Legislators,
25-4022.00,Librarians and Media Collections Specialists,,Librarians and Media Collections Specialists|Librarians|and|Media|Collections|Specialists,
43-4121.00,"Library Assistants, Clerical",,"Library Assistants, Clerical|Library|Assistants,|Clerical",
25-1082.00,"Library Science Teachers, Postsecondary",,"Library Science Teachers, Postsecondary|Library|Science|Teachers,|Postsecondary",
25-4031.00,Library Technicians,,Library Technicians|Library|Technicians,
29-2061.00,Licensed Practical and Licensed Vocational Nurses,,Licensed Practical and Licensed Vocational Nurses|Licensed|Practical|and|Licensed|Vocational,
19-1099.00,"Life Scientists, All Other",,"Life Scientists, All Other|Life|Scientists,|All|Other",
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",,"Life, Physical, and Social Science Technicians, All Other|Life,|Physical,|and|Social|Science",
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers|Lifeguards,|Ski|Patrol,|and|Other",
53-3033.00,Light Truck Drivers,,Light Truck Drivers|Light|Truck|Drivers,
27-4015.00,Lighting Technicians,,Lighting Technicians|Lighting|Technicians,
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",,"Loading and Moving Machine Operators, Underground Mining|Loading|and|Moving|Machine|Operators,",
43-4131.00,Loan Interviewers and Clerks,,Loan Interviewers and Clerks|Loan|Interviewers|and|Clerks,
13-2072.00,Loan Officers,,Loan Officers|Loan|Officers,
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",,"Locker Room, Coatroom, and Dressing Room Attendants|Locker|Room,|Coatroom,|and|Dressing",
49-9094.00,Locksmiths and Safe Repairers,,Locksmiths and Safe Repairers|Locksmiths|and|Safe|Repairers,
53-4011.00,Locomotive Engineers,,Locomotive Engineers|Locomotive|Engineers,
11-9081.00,Lodging Managers,,Lodging Managers|Lodging|Managers,
45-4023.00,Log Graders and Scalers,,Log Graders and Scalers|Log|Graders|and|Scalers,
45-4022.00,Logging Equipment Operators,,Logging Equipment Operators|Logging|Equipment|Operators,
45-4029.00,"Logging Workers, All Other",,"Logging Workers, All Other|Logging|Workers,|All|Other",
13-1081.00,Logisticians,,Logisticians|Logisticians,
13-1081.02,Logistics Analysts,,Logistics Analysts|Logistics|Analysts,
13-1081.01,Logistics Engineers,,Logistics Engineers|Logistics|Engineers,
11-9199.08,Loss Prevention Managers,,Loss Prevention Managers|Loss|Prevention|Managers,
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists|Low|Vision|Therapists,|Orientation|and",
53-7063.00,Machine Feeders and Offbearers,,Machine Feeders and Offbearers|Machine|Feeders|and|Offbearers,
51-4041.00,Machinists,,Machinists|Machinists,
29-2035.00,Magnetic Resonance Imaging Technologists,,Magnetic Resonance Imaging Technologists|Magnetic|Resonance|Imaging|Technologists,
37-2012.00,Maids and Housekeeping Cleaners,,Maids and Housekeeping Cleaners|Maids|and|Housekeeping|Cleaners,
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",,"Mail Clerks and Mail Machine Operators, Except Postal Service|Mail|Clerks|and|Mail|Machine",
49-9071.00,"Maintenance and Repair Workers, General",,"Maintenance and Repair Workers, General|Maintenance|and|Repair|Workers,|General",
49-9043.00,"Maintenance Workers, Machinery",,"Maintenance Workers, Machinery|Maintenance|Workers,|Machinery",
39-5091.00,"Makeup Artists, Theatrical and Performance",,"Makeup Artists, Theatrical and Performance|Makeup|Artists,|Theatrical|and|Performance",
13-1111.00,Management Analysts,,Management Analysts|Management|Analysts,
11-9199.00,"Managers, All Other",,"Managers, All Other|Managers,|All|Other",
39-5092.00,Manicurists and Pedicurists,,Manicurists and Pedicurists|Manicurists|and|Pedicurists,
49-9095.00,Manufactured Building and Mobile Home Installers,,Manufactured Building and Mobile Home Installers|Manufactured|Building|and|Mobile|Home,
17-2112.03,Manufacturing Engineers,,Manufacturing Engineers|Manufacturing|Engineers,
17-2121.00,Marine Engineers and Naval Architects,,Marine Engineers and Naval Architects|Marine|Engineers|and|Naval|Architects,
13-1161.00,Market Research Analysts and Marketing Specialists,,Market Research Analysts and Marketing Specialists|Market|Research|Analysts|and|Marketing,
11-2021.00,Marketing Managers,,Marketing Managers|Marketing|Managers,
21-1013.00,Marriage and Family Therapists,,Marriage and Family Therapists|Marriage|and|Family|Therapists,
31-9011.00,Massage Therapists,,Massage Therapists|Massage|Therapists,
53-7199.00,"Material Moving Workers, All Other",,"Material Moving Workers, All Other|Material|Moving|Workers,|All|Other",
17-2131.00,Materials Engineers,,Materials Engineers|Materials|Engineers,
19-2032.00,Materials Scientists,,Materials Scientists|Materials|Scientists,
15-2099.00,"Mathematical Science Occupations, All Other",,"Mathematical Science Occupations, All Other|Mathematical|Science|Occupations,|All|Other",
25-1022.00,"Mathematical Science Teachers, Postsecondary",,"Mathematical Science Teachers, Postsecondary|Mathematical|Science|Teachers,|Postsecondary",
15-2021.00,Mathematicians,,Mathematicians|Mathematicians,
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",,"Meat, Poultry, and Fish Cutters and Trimmers|Meat,|Poultry,|and|Fish|Cutters",
49-9011.00,Mechanical Door Repairers,,Mechanical Door Repairers|Mechanical|Door|Repairers,
17-3013.00,Mechanical Drafters,,Mechanical Drafters|Mechanical|Drafters,
17-3027.00,Mechanical Engineering Technologists and Technicians,,Mechanical Engineering Technologists and Technicians|Mechanical|Engineering|Technologists|and|Technicians,
17-2141.00,Mechanical Engineers,,Mechanical Engineers|Mechanical|Engineers,
17-2199.05,Mechatronics Engineers,,Mechatronics Engineers|Mechatronics|Engineers,
27-4099.00,"Media and Communication Equipment Workers, All Other",,"Media and Communication Equipment Workers, All Other|Media|and|Communication|Equipment|Workers,",
27-3099.00,"Media and Communication Workers, All Other",,"Media and Communication Workers, All Other|Media|and|Communication|Workers,|All",
27-2012.03,Media Programming Directors,,Media Programming Directors|Media|Programming|Directors,
27-2012.05,Media Technical Directors/Managers,,Media Technical Directors/Managers|Media|Technical|Directors|Managers,
29-2012.00,Medical and Clinical Laboratory Technicians,,Medical and Clinical Laboratory Technicians|Medical|and|Clinical|Laboratory|Technicians,
29-2011.00,Medical and Clinical Laboratory Technologists,,Medical and Clinical Laboratory Technologists|Medical|and|Clinical|Laboratory|Technologists,
11-9111.00,Medical and Health Services Managers,,Medical and Health Services Managers|Medical|and|Health|Services|Managers,
51-9082.00,Medical Appliance Technicians,,Medical Appliance Technicians|Medical|Appliance|Technicians,
31-9092.00,Medical Assistants,,Medical Assistants|Medical|Assistants,
29-2036.00,Medical Dosimetrists,,Medical Dosimetrists|Medical|Dosimetrists,
31-9093.00,Medical Equipment Preparers,,Medical Equipment Preparers|Medical|Equipment|Preparers,
49-9062.00,Medical Equipment Repairers,,Medical Equipment Repairers|Medical|Equipment|Repairers,
29-2072.00,Medical Records Specialists,,Medical Records Specialists|Medical|Records|Specialists,
19-1042.00,"Medical Scientists, Except Epidemiologists",,"Medical Scientists, Except Epidemiologists|Medical|Scientists,|Except|Epidemiologists",
43-6013.00,Medical Secretaries and Administrative Assistants,,Medical Secretaries and Administrative Assistants|Medical|Secretaries|and|Administrative|Assistants,
31-9094.00,Medical Transcriptionists,,Medical Transcriptionists|Medical|Transcriptionists,
13-1121.00,"Meeting, Convention, and Event Planners",,"Meeting, Convention, and Event Planners|Meeting,|Convention,|and|Event|Planners",
21-1023.00,Mental Health and Substance Abuse Social Workers,,Mental Health and Substance Abuse Social Workers|Mental|Health|and|Substance|Abuse,
21-1014.00,Mental Health Counselors,,Mental Health Counselors|Mental|Health|Counselors,
27-1026.00,Merchandise Displayers and Window Trimmers,,Merchandise Displayers and Window Trimmers|Merchandise|Displayers|and|Window|Trimmers,
51-4199.00,"Metal Workers and Plastic Workers, All Other",,"Metal Workers and Plastic Workers, All Other|Metal|Workers|and|Plastic|Workers,",
51-4051.00,Metal-Refining Furnace Operators and Tenders,,Metal-Refining Furnace Operators and Tenders|Metal|Refining|Furnace|Operators|and,
43-5041.00,"Meter Readers, Utilities",,"Meter Readers, Utilities|Meter|Readers,|Utilities",
19-1022.00,Microbiologists,,Microbiologists|Microbiologists,
17-2199.06,Microsystems Engineers,,Microsystems Engineers|Microsystems|Engineers,
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",,"Middle School Teachers, Except Special and Career/Technical Education|Middle|School|Teachers,|Except|Special",
29-9099.01,Midwives,,Midwives|Midwives,
55-3019.00,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other|Military|Enlisted|Tactical|Operations|and",
55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other",,"Military Officer Special and Tactical Operations Leaders, All Other|Military|Officer|Special|and|Tactical",
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic|Milling|and|Planing|Machine|Setters,",
49-9044.00,Millwrights,,Millwrights|Millwrights,
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",,"Mining and Geological Engineers, Including Mining Safety Engineers|Mining|and|Geological|Engineers,|Including",
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",,"Mixing and Blending Machine Setters, Operators, and Tenders|Mixing|and|Blending|Machine|Setters,",
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",,"Mobile Heavy Equipment Mechanics, Except Engines|Mobile|Heavy|Equipment|Mechanics,|Except",
51-4061.00,"Model Makers, Metal and Plastic",,"Model Makers, Metal and Plastic|Model|Makers,|Metal|and|Plastic",
51-7031.00,"Model Makers, Wood",,"Model Makers, Wood|Model|Makers,|Wood",
41-9012.00,Models,,Models|Models,
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",,"Molders, Shapers, and Casters, Except Metal and Plastic|Molders,|Shapers,|and|Casters,|Except",
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic|Molding,|Coremaking,|and|Casting|Machine",
19-1029.02,Molecular and Cellular Biologists,,Molecular and Cellular Biologists|Molecular|and|Cellular|Biologists,
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",,"Morticians, Undertakers, and Funeral Arrangers|Morticians,|Undertakers,|and|Funeral|Arrangers",
39-3021.00,Motion Picture Projectionists,,Motion Picture Projectionists|Motion|Picture|Projectionists,
53-3099.00,"Motor Vehicle Operators, All Other",,"Motor Vehicle Operators, All Other|Motor|Vehicle|Operators,|All|Other",
49-3051.00,Motorboat Mechanics and Service Technicians,,Motorboat Mechanics and Service Technicians|Motorboat|Mechanics|and|Service|Technicians,
53-5022.00,Motorboat Operators,,Motorboat Operators|Motorboat|Operators,
49-3052.00,Motorcycle Mechanics,,Motorcycle Mechanics|Motorcycle|Mechanics,
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic|Multiple|Machine|Tool|Setters,|Operators,",
25-4013.00,Museum Technicians and Conservators,,Museum Technicians and Conservators|Museum|Technicians|and|Conservators,
27-2041.00,Music Directors and Composers,,Music Directors and Composers|Music|Directors|and|Composers,
29-1129.02,Music Therapists,,Music Therapists|Music|Therapists,
49-9063.00,Musical Instrument Repairers and Tuners,,Musical Instrument Repairers and Tuners|Musical|Instrument|Repairers|and|Tuners,
27-2042.00,Musicians and Singers,,Musicians and Singers|Musicians|and|Singers,
39-9011.01,Nannies,,Nannies|Nannies,
17-2199.09,Nanosystems Engineers,,Nanosystems Engineers|Nanosystems|Engineers,
17-3026.01,Nanotechnology Engineering Technologists and Technicians,,Nanotechnology Engineering Technologists and Technicians|Nanotechnology|Engineering|Technologists|and|Technicians,
11-9121.00,Natural Sciences Managers,,Natural Sciences Managers|Natural|Sciences|Managers,
29-1299.01,Naturopathic Physicians,,Naturopathic Physicians|Naturopathic|Physicians,
15-1244.00,Network and Computer Systems Administrators,,Network and Computer Systems Administrators|Network|and|Computer|Systems|Administrators,
29-2099.01,Neurodiagnostic Technologists,,Neurodiagnostic Technologists|Neurodiagnostic|Technologists,
29-1217.00,Neurologists,,Neurologists|Neurologists,
19-3039.02,Neuropsychologists,,Neuropsychologists|Neuropsychologists,
43-4141.00,New Accounts Clerks,,New Accounts Clerks|New|Accounts|Clerks,
27-3023.00,"News Analysts, Reporters, and Journalists",,"News Analysts, Reporters, and Journalists|News|Analysts,|Reporters,|and|Journalists",
17-3029.01,Non-Destructive Testing Specialists,,Non-Destructive Testing Specialists|Non|Destructive|Testing|Specialists,
17-2161.00,Nuclear Engineers,,Nuclear Engineers|Nuclear|Engineers,
29-2033.00,Nuclear Medicine Technologists,,Nuclear Medicine Technologists|Nuclear|Medicine|Technologists,
19-4051.02,Nuclear Monitoring Technicians,,Nuclear Monitoring Technicians|Nuclear|Monitoring|Technicians,
51-8011.00,Nuclear Power Reactor Operators,,Nuclear Power Reactor Operators|Nuclear|Power|Reactor|Operators,
19-4051.00,Nuclear Technicians,,Nuclear Technicians|Nuclear|Technicians,
29-1151.00,Nurse Anesthetists,,Nurse Anesthetists|Nurse|Anesthetists,
29-1161.00,Nurse Midwives,,Nurse Midwives|Nurse|Midwives,
29-1171.00,Nurse Practitioners,,Nurse Practitioners|Nurse|Practitioners,
31-1131.00,Nursing Assistants,,Nursing Assistants|Nursing|Assistants,
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",,"Nursing Instructors and Teachers, Postsecondary|Nursing|Instructors|and|Teachers,|Postsecondary",
29-1218.00,Obstetricians and Gynecologists,,Obstetricians and Gynecologists|Obstetricians|and|Gynecologists,
19-5011.00,Occupational Health and Safety Specialists,,Occupational Health and Safety Specialists|Occupational|Health|and|Safety|Specialists,
19-5012.00,Occupational Health and Safety Technicians,,Occupational Health and Safety Technicians|Occupational|Health|and|Safety|Technicians,
29-1122.00,Occupational Therapists,,Occupational Therapists|Occupational|Therapists,
31-2012.00,Occupational Therapy Aides,,Occupational Therapy Aides|Occupational|Therapy|Aides,
31-2011.00,Occupational Therapy Assistants,,Occupational Therapy Assistants|Occupational|Therapy|Assistants,
43-9199.00,"Office and Administrative Support Workers, All Other",,"Office and Administrative Support Workers, All Other|Office|and|Administrative|Support|Workers,",
43-9061.00,"Office Clerks, General",,"Office Clerks, General|Office|Clerks,|General",
43-9071.00,"Office Machine Operators, Except Computer",,"Office Machine Operators, Except Computer|Office|Machine|Operators,|Except|Computer",
13-1199.06,Online Merchants,,Online Merchants|Online|Merchants,
47-2073.00,Operating Engineers and Other Construction Equipment Operators,,Operating Engineers and Other Construction Equipment Operators|Operating|Engineers|and|Other|Construction,
15-2031.00,Operations Research Analysts,,Operations Research Analysts|Operations|Research|Analysts,
51-9083.00,Ophthalmic Laboratory Technicians,,Ophthalmic Laboratory Technicians|Ophthalmic|Laboratory|Technicians,
29-2057.00,Ophthalmic Medical Technicians,,Ophthalmic Medical Technicians|Ophthalmic|Medical|Technicians,
29-2099.05,Ophthalmic Medical Technologists,,Ophthalmic Medical Technologists|Ophthalmic|Medical|Technologists,
29-1241.00,"Ophthalmologists, Except Pediatric",,"Ophthalmologists, Except Pediatric|Ophthalmologists,|Except|Pediatric",
29-2081.00,"Opticians, Dispensing",,"Opticians, Dispensing|Opticians,|Dispensing",
29-1041.00,Optometrists,,Optometrists|Optometrists,
29-1022.00,Oral and Maxillofacial Surgeons,,Oral and Maxillofacial Surgeons|Oral|and|Maxillofacial|Surgeons,
43-4151.00,Order Clerks,,Order Clerks|Order|Clerks,
31-1132.00,Orderlies,,Orderlies|Orderlies,
29-1023.00,Orthodontists,,Orthodontists|Orthodontists,
29-1242.00,"Orthopedic Surgeons, Except Pediatric",,"Orthopedic Surgeons, Except Pediatric|Orthopedic|Surgeons,|Except|Pediatric",
29-1299.02,Orthoptists,,Orthoptists|Orthoptists,
29-2091.00,Orthotists and Prosthetists,,Orthotists and Prosthetists|Orthotists|and|Prosthetists,
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,,Outdoor Power Equipment and Other Small Engine Mechanics|Outdoor|Power|Equipment|and|Other,
51-9111.00,Packaging and Filling Machine Operators and Tenders,,Packaging and Filling Machine Operators and Tenders|Packaging|and|Filling|Machine|Operators,
53-7064.00,"Packers and Packagers, Hand",,"Packers and Packagers, Hand|Packers|and|Packagers,|Hand",
47-2141.00,"Painters, Construction and Maintenance",,"Painters, Construction and Maintenance|Painters,|Construction|and|Maintenance",
51-9123.00,"Painting, Coating, and Decorating Workers",,"Painting, Coating, and Decorating Workers|Painting,|Coating,|and|Decorating|Workers",
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",,"Paper Goods Machine Setters, Operators, and Tenders|Paper|Goods|Machine|Setters,|Operators,",
47-2142.00,Paperhangers,,Paperhangers|Paperhangers,
23-2011.00,Paralegals and Legal Assistants,,Paralegals and Legal Assistants|Paralegals|and|Legal|Assistants,
29-2043.00,Paramedics,,Paramedics|Paramedics,
19-1031.03,Park Naturalists,,Park Naturalists|Park|Naturalists,
53-6021.00,Parking Attendants,,Parking Attendants|Parking|Attendants,
33-3041.00,Parking Enforcement Workers,,Parking Enforcement Workers|Parking|Enforcement|Workers,
41-2022.00,Parts Salespersons,,Parts Salespersons|Parts|Salespersons,
53-6061.00,Passenger Attendants,,Passenger Attendants|Passenger|Attendants,
29-2099.08,Patient Representatives,,Patient Representatives|Patient|Representatives,
51-4062.00,"Patternmakers, Metal and Plastic",,"Patternmakers, Metal and Plastic|Patternmakers,|Metal|and|Plastic",
51-7032.00,"Patternmakers, Wood",,"Patternmakers, Wood|Patternmakers,|Wood",
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",,"Paving, Surfacing, and Tamping Equipment Operators|Paving,|Surfacing,|and|Tamping|Equipment",
43-3051.00,Payroll and Timekeeping Clerks,,Payroll and Timekeeping Clerks|Payroll|and|Timekeeping|Clerks,
29-1243.00,Pediatric Surgeons,,Pediatric Surgeons|Pediatric|Surgeons,
29-1221.00,"Pediatricians, General",,"Pediatricians, General|Pediatricians,|General",
15-1299.04,Penetration Testers,,Penetration Testers|Penetration|Testers,
31-1122.00,Personal Care Aides,,Personal Care Aides|Personal|Care|Aides,
39-9099.00,"Personal Care and Service Workers, All Other",,"Personal Care and Service Workers, All Other|Personal|Care|and|Service|Workers,",
13-2052.00,Personal Financial Advisors,,Personal Financial Advisors|Personal|Financial|Advisors,
11-9179.00,"Personal Service Managers, All Other",,"Personal Service Managers, All Other|Personal|Service|Managers,|All|Other",
37-2021.00,Pest Control Workers,,Pest Control Workers|Pest|Control|Workers,
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,"Pesticide Handlers, Sprayers, and Applicators, Vegetation|Pesticide|Handlers,|Sprayers,|and|Applicators,",
17-2171.00,Petroleum Engineers,,Petroleum Engineers|Petroleum|Engineers,
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",,"Petroleum Pump System Operators, Refinery Operators, and Gaugers|Petroleum|Pump|System|Operators,|Refinery",
29-1051.00,Pharmacists,,Pharmacists|Pharmacists,
31-9095.00,Pharmacy Aides,,Pharmacy Aides|Pharmacy|Aides,
29-2052.00,Pharmacy Technicians,,Pharmacy Technicians|Pharmacy|Technicians,
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",,"Philosophy and Religion Teachers, Postsecondary|Philosophy|and|Religion|Teachers,|Postsecondary",
31-9097.00,Phlebotomists,,Phlebotomists|Phlebotomists,
27-4021.00,Photographers,,Photographers|Photographers,
51-9151.00,Photographic Process Workers and Processing Machine Operators,,Photographic Process Workers and Processing Machine Operators|Photographic|Process|Workers|and|Processing,
17-2199.07,Photonics Engineers,,Photonics Engineers|Photonics|Engineers,
17-3029.08,Photonics Technicians,,Photonics Technicians|Photonics|Technicians,
29-1229.04,Physical Medicine and Rehabilitation Physicians,,Physical Medicine and Rehabilitation Physicians|Physical|Medicine|and|Rehabilitation|Physicians,
19-2099.00,"Physical Scientists, All Other",,"Physical Scientists, All Other|Physical|Scientists,|All|Other",
31-2022.00,Physical Therapist Aides,,Physical Therapist Aides|Physical|Therapist|Aides,
31-2021.00,Physical Therapist Assistants,,Physical Therapist Assistants|Physical|Therapist|Assistants,
29-1123.00,Physical Therapists,,Physical Therapists|Physical|Therapists,
29-1071.00,Physician Assistants,,Physician Assistants|Physician|Assistants,
29-1229.00,"Physicians, All Other",,"Physicians, All Other|Physicians,|All|Other",
29-1222.00,"Physicians, Pathologists",,"Physicians, Pathologists|Physicians,|Pathologists",
19-2012.00,Physicists,,Physicists|Physicists,
25-1054.00,"Physics Teachers, Postsecondary",,"Physics Teachers, Postsecondary|Physics|Teachers,|Postsecondary",
47-2072.00,Pile Driver Operators,,Pile Driver Operators|Pile|Driver|Operators,
47-2151.00,Pipelayers,,Pipelayers|Pipelayers,
51-8099.00,"Plant and System Operators, All Other",,"Plant and System Operators, All Other|Plant|and|System|Operators,|All",
47-2161.00,Plasterers and Stucco Masons,,Plasterers and Stucco Masons|Plasterers|and|Stucco|Masons,
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic|Plating|Machine|Setters,|Operators,|and",
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",,"Plumbers, Pipefitters, and Steamfitters|Plumbers,|Pipefitters,|and|Steamfitters",
29-1081.00,Podiatrists,,Podiatrists|Podiatrists,
27-3043.05,"Poets, Lyricists and Creative Writers",,"Poets, Lyricists and Creative Writers|Poets,|Lyricists|and|Creative|Writers",
33-3051.00,Police and Sheriff's Patrol Officers,,Police and Sheriff's Patrol Officers|Police|and|Sheriff's|Patrol|Officers,
33-3021.02,Police Identification and Records Officers,,Police Identification and Records Officers|Police|Identification|and|Records|Officers,
25-1065.00,"Political Science Teachers, Postsecondary",,"Political Science Teachers, Postsecondary|Political|Science|Teachers,|Postsecondary",
19-3094.00,Political Scientists,,Political Scientists|Political|Scientists,
43-5051.00,Postal Service Clerks,,Postal Service Clerks|Postal|Service|Clerks,
43-5052.00,Postal Service Mail Carriers,,Postal Service Mail Carriers|Postal|Service|Mail|Carriers,
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",,"Postal Service Mail Sorters, Processors, and Processing Machine Operators|Postal|Service|Mail|Sorters,|Processors,",
11-9131.00,Postmasters and Mail Superintendents,,Postmasters and Mail Superintendents|Postmasters|and|Mail|Superintendents,
25-1199.00,"Postsecondary Teachers, All Other",,"Postsecondary Teachers, All Other|Postsecondary|Teachers,|All|Other",
51-9195.05,"Potters, Manufacturing",,"Potters, Manufacturing|Potters,|Manufacturing",
51-4052.00,"Pourers and Casters, Metal",,"Pourers and Casters, Metal|Pourers|and|Casters,|Metal",
51-8012.00,Power Distributors and Dispatchers,,Power Distributors and Dispatchers|Power|Distributors|and|Dispatchers,
51-8013.00,Power Plant Operators,,Power Plant Operators|Power|Plant|Operators,
19-4012.01,Precision Agriculture Technicians,,Precision Agriculture Technicians|Precision|Agriculture|Technicians,
49-9069.00,"Precision Instrument and Equipment Repairers, All Other",,"Precision Instrument and Equipment Repairers, All Other|Precision|Instrument|and|Equipment|Repairers,",
51-5111.00,Prepress Technicians and Workers,,Prepress Technicians and Workers|Prepress|Technicians|and|Workers,
25-2011.00,"Preschool Teachers, Except Special Education",,"Preschool Teachers, Except Special Education|Preschool|Teachers,|Except|Special|Education",
51-6021.00,"Pressers, Textile, Garment, and Related Materials",,"Pressers, Textile, Garment, and Related Materials|Pressers,|Textile,|Garment,|and|Related",
29-1229.05,Preventive Medicine Physicians,,Preventive Medicine Physicians|Preventive|Medicine|Physicians,
51-5113.00,Print Binding and Finishing Workers,,Print Binding and Finishing Workers|Print|Binding|and|Finishing|Workers,
51-5112.00,Printing Press Operators,,Printing Press Operators|Printing|Press|Operators,
